Sidi Bouzid,100,100,472,65,55,394,172,83,1918,337,238,2784,5,october,2009,12.105,8.549
Tozeur,8,13,63,12,9,62,30,23,236,50,45,361,5,october,2009,13.85,12.465
Medenine,15,147,310,19,95,424,63,232,1672,97,474,2406,5,october,2009,4.032,19.701
Tataouin,3,14,55,7,11,46,18,21,298,28,46,399,5,october,2009,7.018,11.529
Tunis,0,0,0,0,0,0,0,0,0,0,0,0,1,november,2009,0,0
Ariana,38,0,303,28,0,205,97,0,1061,163,0,1569,1,november,2009,10.389,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,1,november,2009,0,0
Ben Arous,4,226,770,40,174,524,74,310,2510,118,710,3804,1,november,2009,3.102,18.665
Bizerte,34,219,388,25,122,306,64,180,1557,123,521,2251,1,november,2009,5.464,23.145
Nabeul,38,603,1306,51,236,655,123,559,4404,212,1398,6365,1,november,2009,3.331,21.964
Zaghouan,9,0,249,48,0,283,81,0,1262,138,0,1794,1,november,2009,7.692,0
Beja,14,5,94,5,10,78,17,30,321,36,45,493,1,november,2009,7.302,9.128
Jendouba ,33,194,456,20,63,258,71,81,881,124,338,1595,1,november,2009,7.774,21.191
Le Kef,0,242,814,201,0,749,752,0,4052,953,242,5615,1,november,2009,16.972,4.31
Siliana,5,0,49,11,0,71,48,0,682,64,0,802,1,november,2009,7.98,0
Kairouan,23,113,811,29,96,1144,162,244,3806,214,453,5761,1,november,2009,3.715,7.863
Sousse,26,170,699,27,63,485,138,150,4334,191,383,5518,1,november,2009,3.461,6.941
Mahdia,13,4,301,9,0,259,31,0,459,53,4,1019,1,november,2009,5.201,0.393
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,1,november,2009,0,0
Kasserine,74,16,1114,97,6,524,254,40,3856,425,62,5494,1,november,2009,7.736,1.129
Sfax,33,198,652,75,120,777,164,248,3539,272,566,4968,1,november,2009,5.475,11.393
Gabes,12,70,287,21,10,296,132,25,1313,165,105,1896,1,november,2009,8.703,5.538
Kebili,48,150,507,54,28,454,260,72,2571,362,250,3532,1,november,2009,10.249,7.078
Gafsa,37,0,724,16,0,684,432,0,3933,485,0,5341,1,november,2009,9.081,0
Sidi Bouzid,135,187,724,111,88,638,352,144,3576,598,419,4938,1,november,2009,12.11,8.485
Tozeur,29,25,133,15,21,115,64,45,715,108,91,963,1,november,2009,11.215,9.45
Medenine,19,207,706,20,169,674,58,356,2795,97,732,4175,1,november,2009,2.323,17.533
Tataouin,9,18,50,5,3,33,12,16,181,26,37,264,1,november,2009,9.848,14.015
Tunis,0,0,0,0,0,0,0,0,0,0,0,0,2,november,2009,0,0
Ariana,41,0,393,42,0,369,113,0,1165,196,0,1927,2,november,2009,10.171,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,2,november,2009,0,0
Ben Arous,0,0,0,0,0,0,0,0,0,0,0,0,2,november,2009,0,0
Bizerte,22,204,367,28,129,313,75,285,1679,125,618,2359,2,november,2009,5.299,26.198
Nabeul,147,783,1331,110,309,872,270,778,4852,527,1870,7055,2,november,2009,7.47,26.506
Zaghouan,0,0,0,0,0,0,0,0,0,0,0,0,2,november,2009,0,0
Beja,2,61,130,14,19,78,16,44,424,32,124,632,2,november,2009,5.063,19.62
Jendouba ,43,276,497,23,74,288,72,65,893,138,415,1678,2,november,2009,8.224,24.732
Le Kef,0,189,694,183,0,705,751,0,3678,934,189,5077,2,november,2009,18.397,3.723
Siliana,11,0,164,40,0,347,206,0,2181,257,0,2692,2,november,2009,9.547,0
Kairouan,86,134,1219,78,119,1365,141,275,3998,305,528,6582,2,november,2009,4.634,8.022
Sousse,46,147,602,35,56,469,119,116,4278,200,319,5349,2,november,2009,3.739,5.964
Mahdia,22,23,410,19,0,348,41,0,531,82,23,1289,2,november,2009,6.362,1.784
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,2,november,2009,0,0
Kasserine,96,73,1286,130,12,643,326,40,4370,552,125,6299,2,november,2009,8.763,1.984
Sfax,15,222,603,58,142,782,158,278,4058,231,642,5443,2,november,2009,4.244,11.795
Gabes,31,0,769,79,0,705,353,0,3560,463,0,5034,2,november,2009,9.197,0
Kebili,108,178,800,194,56,922,574,142,4004,876,376,5726,2,november,2009,15.299,6.567
Gafsa,9,0,422,57,0,480,234,0,3176,300,0,4078,2,november,2009,7.357,0
Sidi Bouzid,240,183,1109,158,93,718,319,168,3808,717,444,5635,2,november,2009,12.724,7.879
Tozeur,22,43,122,12,19,97,61,72,696,95,134,915,2,november,2009,10.383,14.645
Medenine,25,335,741,36,252,775,98,468,3137,159,1055,4653,2,november,2009,3.417,22.674
Tataouin,2,31,91,9,18,93,66,50,587,77,99,771,2,november,2009,9.987,12.84
Tunis,0,0,0,0,0,0,0,0,0,0,0,0,3,november,2009,0,0
Ariana,71,0,268,139,0,407,208,0,1212,418,0,1887,3,november,2009,22.152,0
Mannouba,0,0,0,0,0,0,0,0,0,0,0,0,3,november,2009,0,0
Ben Arous,29,307,817,57,211,530,86,226,1746,172,744,3093,3,november,2009,5.561,24.054
Bizerte,48,254,493,57,172,428,103,306,1984,208,732,2905,3,november,2009,7.16,25.198
Nabeul,146,846,1545,372,482,1257,427,892,5262,945,2220,8064,3,november,2009,11.719,27.53
Zaghouan,46,0,141,43,0,154,134,0,518,223,0,813,3,november,2009,27.429,0
Beja,32,59,348,50,36,189,54,97,1025,136,192,1562,3,november,2009,8.707,12.292
Jendouba ,13,135,218,13,70,191,50,58,492,76,263,901,3,november,2009,8.435,29.19
Le Kef,0,377,859,208,0,892,911,0,4313,1119,377,6064,3,november,2009,18.453,6.217
Siliana,0,0,0,0,0,0,0,0,0,0,0,0,3,november,2009,0,0
Kairouan,88,78,687,86,143,574,177,237,2451,351,458,3712,3,november,2009,9.456,12.338
Sousse,59,200,796,76,88,662,248,183,4847,383,471,6305,3,november,2009,6.075,7.47
Mahdia,45,54,472,31,0,345,28,0,562,104,54,1379,3,november,2009,7.542,3.916
Monastir,0,0,0,0,0,0,0,0,0,0,0,0,3,november,2009,0,0
Kasserine,103,5,1199,119,14,822,294,17,4458,516,36,6479,3,november,2009,7.964,0.556
Sfax,45,199,699,120,216,1135,225,358,4122,390,773,5956,3,november,2009,6.548,12.979
Gabes,51,53,779,109,27,936,384,64,4127,544,144,5842,3,november,2009,9.312,2.465
Kebili,47,169,540,68,22,616,275,68,2616,390,259,3772,3,november,2009,10.339,6.866
Gafsa,21,0,64,47,0,97,108,0,804,176,0,965,3,november,2009,18.238,0
Sidi Bouzid,165,213,790,155,101,872,419,230,4278,739,544,5940,3,november,2009,12.441,9.158
Tozeur,33,27,122,22,21,151,99,77,772,154,125,1045,3,november,2009,14.737,11.962
Medenine,35,429,726,102,253,987,186,468,3347,323,1150,5060,3,november,2009,6.383,22.727
Tataouin,5,30,127,31,46,228,85,82,1077,121,158,1432,3,november,2009,8.45,11.034
